iter	Passed	Remaining
0	60	60556
1	60	30399
2	61	20383
3	61	15351
4	61	12325
5	62	10309
6	62	8867
7	62	7795
8	63	6954
9	63	6296
10	64	5763
11	64	5304
12	64	4916
13	65	4581
14	65	4293
15	65	4040
16	66	3818
17	66	3623
18	66	3448
19	67	3286
20	67	3143
21	67	3014
22	68	2892
23	68	2781
24	68	2678
25	68	2582
26	69	2494
27	69	2413
28	69	2337
29	70	2268
30	70	2201
31	70	2139
32	71	2084
33	71	2029
34	71	1978
35	72	1929
36	72	1881
37	72	1838
38	72	1795
39	73	1756
40	73	1717
41	73	1682
42	74	1648
43	74	1615
44	74	1583
45	74	1553
46	75	1525
47	75	1498
48	75	1472
49	76	1446
50	76	1421
51	76	1397
52	76	1374
53	77	1353
54	77	1331
55	77	1310
56	78	1290
57	78	1271
58	78	1254
59	79	1241
60	79	1224
61	79	1208
62	80	1192
63	80	1179
64	81	1165
65	81	1152
66	81	1138
67	81	1123
68	82	1109
69	82	1097
70	82	1084
71	83	1071
72	83	1059
73	83	1047
74	83	1035
75	84	1024
76	84	1013
77	84	1002
78	85	991
79	85	981
80	85	971
81	85	961
82	85	950
83	86	940
84	86	931
85	86	923
86	87	914
87	87	906
88	87	897
89	87	888
90	88	880
91	88	872
92	88	864
93	88	857
94	89	850
95	89	842
96	90	841
97	90	835
98	91	828
99	91	821
100	91	815
101	91	809
102	92	803
103	92	797
104	92	791
105	93	785
106	93	779
107	93	774
108	94	768
109	94	763
110	94	758
111	94	753
112	95	747
113	95	741
114	95	736
115	95	731
116	96	730
117	97	725
118	97	720
119	97	716
120	97	711
121	98	705
122	98	701
123	98	696
124	98	692
125	99	688
126	99	683
127	99	678
128	99	674
129	100	670
130	100	666
131	100	662
132	101	658
133	101	654
134	101	650
135	101	646
136	102	642
137	102	638
138	102	635
139	102	631
140	103	627
141	103	623
142	103	619
143	103	616
144	104	613
145	104	610
146	104	607
147	104	603
148	105	600
149	105	597
150	105	594
151	106	591
152	106	588
153	106	585
154	106	582
155	107	579
156	107	576
157	107	573
158	107	570
159	108	567
160	108	563
161	108	560
162	108	558
163	108	555
164	109	553
165	109	551
166	110	549
167	110	546
168	110	544
169	110	541
170	111	538
171	111	536
172	111	534
173	111	531
174	112	529
175	112	526
176	112	524
177	113	522
178	113	519
179	113	517
180	113	515
181	114	513
182	114	511
183	114	508
184	115	506
185	115	504
186	115	502
187	115	500
188	116	498
189	116	496
190	116	494
191	116	492
192	117	489
193	117	487
194	117	486
195	117	483
196	118	481
197	118	479
198	118	478
199	119	476
200	119	474
201	119	472
202	119	470
203	120	468
204	120	466
205	120	465
206	121	463
207	121	462
208	121	460
209	121	458
210	122	456
211	122	455
212	122	453
213	122	451
214	123	449
215	123	448
216	123	446
217	124	444
218	124	443
219	124	441
220	125	440
221	125	439
222	125	438
223	126	436
224	126	435
225	126	434
226	127	432
227	127	431
228	127	429
229	128	428
230	128	427
231	128	425
232	128	424
233	129	422
234	129	421
235	129	419
236	129	418
237	130	417
238	130	416
239	130	414
240	131	413
241	131	412
242	131	411
243	132	409
244	132	408
245	132	406
246	133	405
247	133	404
248	133	403
249	133	401
250	134	400
251	134	399
252	134	398
253	135	396
254	135	395
255	135	394
256	136	393
257	136	392
258	136	390
259	136	389
260	137	388
261	137	387
262	137	385
263	137	384
264	138	383
265	138	382
266	138	381
267	139	379
268	139	378
269	139	377
270	139	376
271	140	375
272	140	374
273	141	373
274	141	372
275	141	371
276	141	370
277	142	369
278	142	368
279	142	367
280	143	366
281	143	365
282	143	364
283	144	363
284	144	362
285	144	361
286	144	360
287	145	358
288	145	357
289	145	356
290	145	355
291	146	354
292	146	353
293	146	352
294	146	351
295	147	351
296	147	349
297	148	349
298	148	347
299	148	346
300	148	345
301	149	344
302	149	343
303	149	342
304	150	341
305	150	340
306	150	339
307	150	338
308	151	338
309	151	337
310	151	336
311	151	335
312	152	334
313	152	333
314	152	332
315	153	331
316	153	330
317	153	329
318	154	328
319	154	328
320	154	327
321	154	326
322	155	325
323	155	324
324	155	323
325	156	323
326	156	322
327	156	321
328	157	320
329	157	319
330	157	318
331	157	317
332	158	316
333	158	315
334	158	315
335	158	314
336	159	313
337	159	312
338	159	311
339	160	310
340	160	309
341	160	309
342	160	308
343	161	307
344	161	306
345	161	305
346	161	304
347	162	304
348	162	303
349	162	302
350	163	301
351	163	300
352	163	299
353	163	298
354	164	298
355	164	297
356	164	296
357	164	295
358	165	294
359	165	293
360	165	293
361	165	292
362	166	291
363	166	290
364	166	290
365	166	289
366	167	288
367	167	287
368	167	287
369	168	286
370	168	285
371	168	284
372	168	283
373	169	283
374	169	282
375	169	281
376	170	281
377	170	280
378	170	279
379	170	278
380	171	278
381	171	277
382	171	276
383	172	276
384	172	275
385	172	274
386	173	274
387	173	273
388	173	272
389	173	271
390	174	271
391	174	270
392	174	269
393	174	268
394	175	268
395	175	267
396	175	266
397	175	266
398	176	265
399	176	264
400	176	263
401	176	263
402	177	262
403	177	261
404	177	261
405	178	260
406	178	259
407	178	259
408	178	258
409	179	257
410	179	257
411	179	256
412	179	255
413	180	255
414	180	254
415	180	253
416	181	253
417	181	252
418	181	251
419	181	251
420	182	250
421	182	249
422	182	249
423	183	248
424	183	248
425	183	247
426	183	246
427	184	246
428	184	245
429	184	244
430	185	244
431	185	243
432	185	243
433	185	242
434	186	241
435	186	241
436	186	240
437	186	239
438	187	239
439	187	238
440	187	238
441	188	237
442	188	236
443	188	236
444	188	235
445	189	235
446	189	234
447	189	233
448	190	233
449	190	232
450	190	232
451	191	231
452	191	231
453	191	230
454	191	229
455	192	229
456	192	228
457	192	228
458	193	227
459	193	227
460	193	226
461	193	225
462	194	226
463	195	225
464	195	224
465	195	224
466	196	223
467	196	223
468	196	222
469	196	222
470	197	221
471	197	220
472	197	220
473	197	219
474	198	219
475	198	218
476	198	217
477	199	217
478	199	216
479	199	216
480	199	215
481	200	215
482	200	214
483	200	214
484	201	213
485	201	212
486	201	212
487	201	211
488	202	211
489	202	210
490	202	210
491	202	209
492	203	209
493	203	208
494	203	208
495	204	207
496	204	206
497	204	206
498	205	205
499	205	205
500	205	204
501	205	204
502	206	203
503	206	203
504	206	202
505	206	202
506	207	201
507	207	200
508	207	200
509	208	199
510	208	199
511	208	198
512	208	198
513	209	197
514	209	197
515	209	196
516	209	196
517	210	195
518	210	195
519	210	194
520	211	194
521	211	193
522	211	192
523	211	192
524	212	191
525	212	191
526	212	190
527	213	190
528	213	189
529	213	189
530	213	188
531	214	188
532	214	187
533	214	187
534	214	186
535	215	186
536	215	185
537	215	185
538	216	184
539	216	184
540	216	183
541	216	183
542	217	182
543	217	182
544	217	181
545	217	181
546	218	180
547	218	180
548	219	179
549	219	179
550	219	179
551	219	178
552	220	177
553	220	177
554	220	176
555	220	176
556	221	175
557	221	175
558	221	174
559	221	174
560	222	173
561	222	173
562	222	172
563	223	172
564	223	171
565	223	171
566	223	171
567	224	170
568	224	170
569	224	169
570	224	169
571	225	168
572	225	168
573	225	167
574	226	167
575	226	166
576	226	166
577	227	165
578	227	165
579	227	164
580	227	164
581	228	163
582	228	163
583	228	162
584	228	162
585	229	161
586	229	161
587	229	161
588	230	160
589	230	160
590	230	159
591	230	159
592	231	158
593	231	158
594	231	157
595	231	157
596	232	156
597	232	156
598	232	155
599	233	155
600	233	154
601	233	154
602	233	153
603	234	153
604	234	153
605	234	152
606	235	152
607	235	151
608	235	151
609	236	150
610	236	150
611	236	150
612	236	149
613	237	149
614	237	148
615	237	148
616	238	147
617	238	147
618	238	146
619	238	146
620	239	145
621	239	145
622	239	145
623	239	144
624	240	144
625	240	143
626	240	143
627	241	142
628	241	142
629	241	141
630	241	141
631	242	141
632	242	140
633	242	140
634	242	139
635	243	139
636	243	138
637	243	138
638	244	137
639	244	137
640	244	136
641	244	136
642	245	136
643	245	135
644	245	135
645	245	134
646	246	134
647	246	133
648	246	133
649	247	133
650	247	132
651	247	132
652	247	131
653	248	131
654	248	130
655	248	130
656	249	130
657	249	129
658	249	129
659	249	128
660	250	128
661	250	127
662	250	127
663	250	126
664	251	126
665	251	126
666	251	125
667	251	125
668	252	124
669	252	124
670	252	123
671	252	123
672	253	123
673	253	122
674	253	122
675	254	121
676	254	121
677	254	120
678	255	120
679	255	120
680	255	119
681	255	119
682	256	118
683	256	118
684	256	118
685	256	117
686	257	117
687	257	116
688	257	116
689	257	115
690	258	115
691	258	114
692	258	114
693	258	114
694	259	113
695	259	113
696	259	112
697	260	112
698	260	112
699	260	111
700	260	111
701	261	110
702	261	110
703	261	110
704	261	109
705	262	109
706	262	108
707	262	108
708	263	107
709	263	107
710	263	107
711	263	106
712	264	106
713	264	105
714	264	105
715	264	105
716	265	104
717	265	104
718	265	103
719	266	103
720	266	103
721	266	102
722	266	102
723	267	101
724	267	101
725	267	101
726	268	100
727	268	100
728	268	99
729	269	99
730	269	99
731	269	98
732	270	98
733	270	97
734	270	97
735	271	97
736	271	96
737	271	96
738	271	96
739	272	95
740	272	95
741	273	94
742	273	94
743	273	94
744	274	93
745	274	93
746	274	92
747	274	92
748	275	92
749	275	91
750	275	91
751	276	91
752	276	90
753	276	90
754	277	89
755	277	89
756	277	89
757	277	88
758	278	88
759	278	87
760	278	87
761	279	87
762	279	86
763	279	86
764	280	86
765	280	85
766	281	85
767	281	84
768	281	84
769	282	84
770	282	83
771	282	83
772	283	83
773	283	82
774	283	82
775	284	82
776	284	81
777	284	81
778	285	80
779	285	80
780	285	80
781	285	79
782	286	79
783	286	78
784	286	78
785	287	78
786	287	77
787	287	77
788	288	77
789	288	76
790	288	76
791	288	75
792	289	75
793	289	75
794	289	74
795	290	74
796	290	73
797	290	73
798	291	73
799	291	72
800	291	72
801	292	72
802	292	71
803	292	71
804	293	70
805	293	70
806	293	70
807	294	69
808	294	69
809	294	69
810	295	68
811	295	68
812	295	68
813	296	67
814	296	67
815	296	66
816	297	66
817	297	66
818	297	65
819	298	65
820	298	65
821	299	64
822	299	64
823	300	64
824	300	63
825	300	63
826	301	63
827	301	62
828	301	62
829	302	61
830	302	61
831	302	61
832	303	60
833	303	60
834	303	59
835	303	59
836	304	59
837	304	58
838	304	58
839	305	58
840	305	57
841	305	57
842	305	56
843	306	56
844	306	56
845	306	55
846	307	55
847	307	55
848	308	54
849	308	54
850	308	54
851	308	53
852	309	53
853	309	52
854	310	52
855	310	52
856	311	51
857	311	51
858	311	51
859	312	50
860	312	50
861	312	50
862	313	49
863	313	49
864	313	48
865	314	48
866	314	48
867	314	47
868	315	47
869	315	47
870	315	46
871	316	46
872	316	46
873	316	45
874	316	45
875	317	44
876	317	44
877	317	44
878	318	43
879	318	43
880	319	43
881	319	42
882	319	42
883	320	42
884	320	41
885	320	41
886	321	40
887	321	40
888	321	40
889	322	39
890	322	39
891	322	39
892	323	38
893	323	38
894	323	37
895	324	37
896	324	37
897	324	36
898	325	36
899	325	36
900	325	35
901	326	35
902	326	35
903	326	34
904	327	34
905	327	33
906	328	33
907	328	33
908	328	32
909	329	32
910	329	32
911	329	31
912	330	31
913	330	31
914	330	30
915	331	30
916	331	30
917	332	29
918	332	29
919	332	28
920	333	28
921	333	28
922	333	27
923	334	27
924	334	27
925	334	26
926	335	26
927	335	26
928	335	25
929	335	25
930	336	24
931	336	24
932	337	24
933	337	23
934	337	23
935	338	23
936	338	22
937	338	22
938	339	22
939	339	21
940	339	21
941	340	20
942	340	20
943	340	20
944	341	19
945	341	19
946	342	19
947	342	18
948	342	18
949	343	18
950	343	17
951	343	17
952	344	16
953	344	16
954	344	16
955	345	15
956	345	15
957	345	15
958	345	14
959	346	14
960	346	14
961	346	13
962	347	13
963	347	12
964	348	12
965	348	12
966	348	11
967	348	11
968	349	11
969	349	10
970	349	10
971	350	10
972	350	9
973	351	9
974	351	9
975	351	8
976	352	8
977	352	7
978	352	7
979	353	7
980	353	6
981	353	6
982	354	6
983	354	5
984	354	5
985	354	5
986	355	4
987	355	4
988	355	3
989	356	3
990	356	3
991	356	2
992	357	2
993	357	2
994	357	1
995	358	1
996	358	1
997	358	0
998	358	0
999	359	0
